"train/global_step","[paper]GRPO_online - _step","[paper]GRPO_online - _step__MIN","[paper]GRPO_online - _step__MAX","[paper]GRPO_online - train/reward","[paper]GRPO_online - train/reward__MIN","[paper]GRPO_online - train/reward__MAX","[paper]GEPO_online - _step","[paper]GEPO_online - _step__MIN","[paper]GEPO_online - _step__MAX","[paper]GEPO_online - train/reward","[paper]GEPO_online - train/reward__MIN","[paper]GEPO_online - train/reward__MAX","[paper]GSPO_online - _step","[paper]GSPO_online - _step__MIN","[paper]GSPO_online - _step__MAX","[paper]GSPO_online - train/reward","[paper]GSPO_online - train/reward__MIN","[paper]GSPO_online - train/reward__MAX"
"56","1925","1925","1925","0.42578125","0.42578125","0.42578125","1925","1925","1925","0.41015625","0.41015625","0.41015625","1925","1925","1925","0.41796875","0.41796875","0.41796875"
"57","1954","1954","1954","0.4921875","0.4921875","0.4921875","1954","1954","1954","0.48046875","0.48046875","0.48046875","1954","1954","1954","0.50390625","0.50390625","0.50390625"
"58","1983","1983","1983","0.45703125","0.45703125","0.45703125","1983","1983","1983","0.4296875","0.4296875","0.4296875","1983","1983","1983","0.4453125","0.4453125","0.4453125"
"59","2012","2012","2012","0.53515625","0.53515625","0.53515625","2012","2012","2012","0.4609375","0.4609375","0.4609375","2012","2012","2012","0.5234375","0.5234375","0.5234375"
"60","2041","2041","2041","0.4765625","0.4765625","0.4765625","2041","2041","2041","0.46875","0.46875","0.46875","2041","2041","2041","0.5078125","0.5078125","0.5078125"
"61","2070","2070","2070","0.625","0.625","0.625","2070","2070","2070","0.58984375","0.58984375","0.58984375","2070","2070","2070","0.60546875","0.60546875","0.60546875"
"62","2099","2099","2099","0.55859375","0.55859375","0.55859375","2099","2099","2099","0.58984375","0.58984375","0.58984375","2099","2099","2099","0.6015625","0.6015625","0.6015625"
"63","2128","2128","2128","0.546875","0.546875","0.546875","2128","2128","2128","0.58203125","0.58203125","0.58203125","2128","2128","2128","0.62890625","0.62890625","0.62890625"
"64","2157","2157","2157","0.5546875","0.5546875","0.5546875","2157","2157","2157","0.56640625","0.56640625","0.56640625","2157","2157","2157","0.55078125","0.55078125","0.55078125"
"65","2337","2337","2337","0.65625","0.65625","0.65625","2337","2337","2337","0.64453125","0.64453125","0.64453125","2337","2337","2337","0.6640625","0.6640625","0.6640625"
"66","2366","2366","2366","0.58203125","0.58203125","0.58203125","2366","2366","2366","0.54296875","0.54296875","0.54296875","2366","2366","2366","0.63671875","0.63671875","0.63671875"
"67","2395","2395","2395","0.6484375","0.6484375","0.6484375","2395","2395","2395","0.61328125","0.61328125","0.61328125","2395","2395","2395","0.66796875","0.66796875","0.66796875"
"68","2424","2424","2424","0.58203125","0.58203125","0.58203125","2424","2424","2424","0.52734375","0.52734375","0.52734375","2424","2424","2424","0.609375","0.609375","0.609375"
"69","2453","2453","2453","0.69140625","0.69140625","0.69140625","2453","2453","2453","0.671875","0.671875","0.671875","2453","2453","2453","0.69140625","0.69140625","0.69140625"
"70","2482","2482","2482","0.52734375","0.52734375","0.52734375","2482","2482","2482","0.5390625","0.5390625","0.5390625","2482","2482","2482","0.56640625","0.56640625","0.56640625"
"71","2511","2511","2511","0.5625","0.5625","0.5625","2511","2511","2511","0.55859375","0.55859375","0.55859375","2511","2511","2511","0.5859375","0.5859375","0.5859375"
"72","2540","2540","2540","0.5859375","0.5859375","0.5859375","2540","2540","2540","0.52734375","0.52734375","0.52734375","2540","2540","2540","0.59375","0.59375","0.59375"
"73","2569","2569","2569","0.64453125","0.64453125","0.64453125","2569","2569","2569","0.6484375","0.6484375","0.6484375","2569","2569","2569","0.67578125","0.67578125","0.67578125"
"74","2598","2598","2598","0.625","0.625","0.625","2598","2598","2598","0.6328125","0.6328125","0.6328125","2598","2598","2598","0.6328125","0.6328125","0.6328125"
"75","2627","2627","2627","0.73046875","0.73046875","0.73046875","2627","2627","2627","0.703125","0.703125","0.703125","2627","2627","2627","0.73046875","0.73046875","0.73046875"
"76","2656","2656","2656","0.6015625","0.6015625","0.6015625","2656","2656","2656","0.609375","0.609375","0.609375","2656","2656","2656","0.640625","0.640625","0.640625"
"77","2685","2685","2685","0.66015625","0.66015625","0.66015625","2685","2685","2685","0.6171875","0.6171875","0.6171875","2685","2685","2685","0.65234375","0.65234375","0.65234375"
"78","2714","2714","2714","0.57421875","0.57421875","0.57421875","2714","2714","2714","0.5390625","0.5390625","0.5390625","2714","2714","2714","0.6015625","0.6015625","0.6015625"
"79","2743","2743","2743","0.66015625","0.66015625","0.66015625","2743","2743","2743","0.70703125","0.70703125","0.70703125","2743","2743","2743","0.67578125","0.67578125","0.67578125"
"80","2772","2772","2772","0.6328125","0.6328125","0.6328125","2772","2772","2772","0.6328125","0.6328125","0.6328125","2772","2772","2772","0.66015625","0.66015625","0.66015625"
"81","2801","2801","2801","0.6796875","0.6796875","0.6796875","2801","2801","2801","0.66796875","0.66796875","0.66796875","2801","2801","2801","0.6953125","0.6953125","0.6953125"
"82","2830","2830","2830","0.5546875","0.5546875","0.5546875","2830","2830","2830","0.5546875","0.5546875","0.5546875","2830","2830","2830","0.578125","0.578125","0.578125"
"83","2859","2859","2859","0.55859375","0.55859375","0.55859375","2859","2859","2859","0.5390625","0.5390625","0.5390625","2859","2859","2859","0.546875","0.546875","0.546875"
"84","2888","2888","2888","0.66796875","0.66796875","0.66796875","2888","2888","2888","0.67578125","0.67578125","0.67578125","2888","2888","2888","0.6796875","0.6796875","0.6796875"
"85","2917","2917","2917","0.71875","0.71875","0.71875","2917","2917","2917","0.73046875","0.73046875","0.73046875","2917","2917","2917","0.7578125","0.7578125","0.7578125"
"86","2946","2946","2946","0.60546875","0.60546875","0.60546875","2946","2946","2946","0.609375","0.609375","0.609375","2946","2946","2946","0.6484375","0.6484375","0.6484375"
"87","2975","2975","2975","0.6796875","0.6796875","0.6796875","2975","2975","2975","0.6640625","0.6640625","0.6640625","2975","2975","2975","0.6171875","0.6171875","0.6171875"
"88","3004","3004","3004","0.6640625","0.6640625","0.6640625","3004","3004","3004","0.64453125","0.64453125","0.64453125","3004","3004","3004","0.65625","0.65625","0.65625"
"89","3033","3033","3033","0.56640625","0.56640625","0.56640625","3033","3033","3033","0.56640625","0.56640625","0.56640625","3033","3033","3033","0.5703125","0.5703125","0.5703125"
"90","3062","3062","3062","0.5234375","0.5234375","0.5234375","3062","3062","3062","0.51953125","0.51953125","0.51953125","3062","3062","3062","0.56640625","0.56640625","0.56640625"
"91","3091","3091","3091","0.6171875","0.6171875","0.6171875","3091","3091","3091","0.6796875","0.6796875","0.6796875","3091","3091","3091","0.69140625","0.69140625","0.69140625"
"92","3120","3120","3120","0.65625","0.65625","0.65625","3120","3120","3120","0.62890625","0.62890625","0.62890625","3120","3120","3120","0.65625","0.65625","0.65625"
"93","3149","3149","3149","0.60546875","0.60546875","0.60546875","3149","3149","3149","0.6171875","0.6171875","0.6171875","3149","3149","3149","0.6328125","0.6328125","0.6328125"
"94","3178","3178","3178","0.65234375","0.65234375","0.65234375","3178","3178","3178","0.62890625","0.62890625","0.62890625","3178","3178","3178","0.65234375","0.65234375","0.65234375"
"95","3207","3207","3207","0.69921875","0.69921875","0.69921875","3207","3207","3207","0.69140625","0.69140625","0.69140625","3207","3207","3207","0.6953125","0.6953125","0.6953125"
"96","3236","3236","3236","0.6484375","0.6484375","0.6484375","3236","3236","3236","0.6484375","0.6484375","0.6484375","3236","3236","3236","0.66015625","0.66015625","0.66015625"
"97","3416","3416","3416","0.6640625","0.6640625","0.6640625","3416","3416","3416","0.671875","0.671875","0.671875","3416","3416","3416","0.65625","0.65625","0.65625"
"98","3445","3445","3445","0.6796875","0.6796875","0.6796875","3445","3445","3445","0.66015625","0.66015625","0.66015625","3445","3445","3445","0.671875","0.671875","0.671875"
"99","3474","3474","3474","0.58984375","0.58984375","0.58984375","3474","3474","3474","0.62890625","0.62890625","0.62890625","3474","3474","3474","0.6328125","0.6328125","0.6328125"
"100","3503","3503","3503","0.7421875","0.7421875","0.7421875","3503","3503","3503","0.71484375","0.71484375","0.71484375","3503","3503","3503","0.73046875","0.73046875","0.73046875"
"101","3532","3532","3532","0.640625","0.640625","0.640625","3532","3532","3532","0.6484375","0.6484375","0.6484375","3532","3532","3532","0.6640625","0.6640625","0.6640625"
"102","3561","3561","3561","0.73046875","0.73046875","0.73046875","3561","3561","3561","0.70703125","0.70703125","0.70703125","3561","3561","3561","0.74609375","0.74609375","0.74609375"
"103","3590","3590","3590","0.67578125","0.67578125","0.67578125","3590","3590","3590","0.671875","0.671875","0.671875","3590","3590","3590","0.69140625","0.69140625","0.69140625"
"104","3619","3619","3619","0.58203125","0.58203125","0.58203125","3619","3619","3619","0.59375","0.59375","0.59375","3619","3619","3619","0.6015625","0.6015625","0.6015625"
"105","3648","3648","3648","0.78125","0.78125","0.78125","3648","3648","3648","0.8359375","0.8359375","0.8359375","3648","3648","3648","0.81640625","0.81640625","0.81640625"
"106","3677","3677","3677","0.62109375","0.62109375","0.62109375","3677","3677","3677","0.6328125","0.6328125","0.6328125","3677","3677","3677","0.609375","0.609375","0.609375"
"107","3706","3706","3706","0.59375","0.59375","0.59375","3706","3706","3706","0.53515625","0.53515625","0.53515625","3706","3706","3706","0.5625","0.5625","0.5625"
"108","3735","3735","3735","0.71875","0.71875","0.71875","3735","3735","3735","0.73046875","0.73046875","0.73046875","3735","3735","3735","0.76171875","0.76171875","0.76171875"
"109","3764","3764","3764","0.65234375","0.65234375","0.65234375","3764","3764","3764","0.640625","0.640625","0.640625","3764","3764","3764","0.66015625","0.66015625","0.66015625"
"110","3793","3793","3793","0.71484375","0.71484375","0.71484375","3793","3793","3793","0.703125","0.703125","0.703125","3793","3793","3793","0.71484375","0.71484375","0.71484375"
"111","3822","3822","3822","0.57421875","0.57421875","0.57421875","3822","3822","3822","0.5859375","0.5859375","0.5859375","3822","3822","3822","0.6171875","0.6171875","0.6171875"
"112","3851","3851","3851","0.578125","0.578125","0.578125","3851","3851","3851","0.59765625","0.59765625","0.59765625","3851","3851","3851","0.5859375","0.5859375","0.5859375"
"113","3880","3880","3880","0.6484375","0.6484375","0.6484375","3880","3880","3880","0.65234375","0.65234375","0.65234375","3880","3880","3880","0.65625","0.65625","0.65625"
"114","3909","3909","3909","0.58984375","0.58984375","0.58984375","3909","3909","3909","0.609375","0.609375","0.609375","3909","3909","3909","0.62109375","0.62109375","0.62109375"
"115","3938","3938","3938","0.84375","0.84375","0.84375","3938","3938","3938","0.86328125","0.86328125","0.86328125","3938","3938","3938","0.84375","0.84375","0.84375"
"116","3967","3967","3967","0.7734375","0.7734375","0.7734375","3967","3967","3967","0.7578125","0.7578125","0.7578125","3967","3967","3967","0.74609375","0.74609375","0.74609375"
"117","3996","3996","3996","0.73046875","0.73046875","0.73046875","3996","3996","3996","0.73828125","0.73828125","0.73828125","3996","3996","3996","0.7734375","0.7734375","0.7734375"
"118","4025","4025","4025","0.71484375","0.71484375","0.71484375","4025","4025","4025","0.67578125","0.67578125","0.67578125","4025","4025","4025","0.7109375","0.7109375","0.7109375"
"119","4054","4054","4054","0.671875","0.671875","0.671875","4054","4054","4054","0.62890625","0.62890625","0.62890625","4054","4054","4054","0.67578125","0.67578125","0.67578125"
"120","4083","4083","4083","0.80078125","0.80078125","0.80078125","4083","4083","4083","0.79296875","0.79296875","0.79296875","4083","4083","4083","0.78125","0.78125","0.78125"
"121","4112","4112","4112","0.640625","0.640625","0.640625","4112","4112","4112","0.62109375","0.62109375","0.62109375","4112","4112","4112","0.66015625","0.66015625","0.66015625"
"122","4141","4141","4141","0.66796875","0.66796875","0.66796875","4141","4141","4141","0.64453125","0.64453125","0.64453125","4141","4141","4141","0.68359375","0.68359375","0.68359375"
"123","4170","4170","4170","0.69140625","0.69140625","0.69140625","4170","4170","4170","0.7578125","0.7578125","0.7578125","4170","4170","4170","0.7265625","0.7265625","0.7265625"
"124","4199","4199","4199","0.77734375","0.77734375","0.77734375","4199","4199","4199","0.76171875","0.76171875","0.76171875","4199","4199","4199","0.78125","0.78125","0.78125"
"125","4228","4228","4228","0.64453125","0.64453125","0.64453125","4228","4228","4228","0.640625","0.640625","0.640625","4228","4228","4228","0.640625","0.640625","0.640625"
"126","4257","4257","4257","0.609375","0.609375","0.609375","4257","4257","4257","0.59375","0.59375","0.59375","4257","4257","4257","0.609375","0.609375","0.609375"
"127","4286","4286","4286","0.63671875","0.63671875","0.63671875","4286","4286","4286","0.6328125","0.6328125","0.6328125","4286","4286","4286","0.66015625","0.66015625","0.66015625"
"128","4315","4315","4315","0.7265625","0.7265625","0.7265625","4315","4315","4315","0.73046875","0.73046875","0.73046875","4315","4315","4315","0.73828125","0.73828125","0.73828125"
"129","4495","4495","4495","0.828125","0.828125","0.828125","4495","4495","4495","0.765625","0.765625","0.765625","4495","4495","4495","0.83203125","0.83203125","0.83203125"
"130","4524","4524","4524","0.8046875","0.8046875","0.8046875","4524","4524","4524","0.78515625","0.78515625","0.78515625","4524","4524","4524","0.78515625","0.78515625","0.78515625"
"131","4553","4553","4553","0.69140625","0.69140625","0.69140625","4553","4553","4553","0.66796875","0.66796875","0.66796875","4553","4553","4553","0.671875","0.671875","0.671875"
"132","4582","4582","4582","0.73046875","0.73046875","0.73046875","4582","4582","4582","0.71875","0.71875","0.71875","4582","4582","4582","0.7578125","0.7578125","0.7578125"
"133","4611","4611","4611","0.7265625","0.7265625","0.7265625","4611","4611","4611","0.7265625","0.7265625","0.7265625","4611","4611","4611","0.703125","0.703125","0.703125"
"134","4640","4640","4640","0.7109375","0.7109375","0.7109375","4640","4640","4640","0.6953125","0.6953125","0.6953125","4640","4640","4640","0.671875","0.671875","0.671875"
"135","4669","4669","4669","0.73046875","0.73046875","0.73046875","4669","4669","4669","0.71875","0.71875","0.71875","4669","4669","4669","0.73828125","0.73828125","0.73828125"
"136","4698","4698","4698","0.65625","0.65625","0.65625","4698","4698","4698","0.6484375","0.6484375","0.6484375","4698","4698","4698","0.60546875","0.60546875","0.60546875"
"137","4727","4727","4727","0.7578125","0.7578125","0.7578125","4727","4727","4727","0.73828125","0.73828125","0.73828125","4727","4727","4727","0.73046875","0.73046875","0.73046875"
"138","4756","4756","4756","0.68359375","0.68359375","0.68359375","4756","4756","4756","0.65625","0.65625","0.65625","4756","4756","4756","0.671875","0.671875","0.671875"
"139","4785","4785","4785","0.76171875","0.76171875","0.76171875","4785","4785","4785","0.75","0.75","0.75","4785","4785","4785","0.7734375","0.7734375","0.7734375"
"140","4814","4814","4814","0.6171875","0.6171875","0.6171875","4814","4814","4814","0.6171875","0.6171875","0.6171875","4814","4814","4814","0.625","0.625","0.625"
"141","4843","4843","4843","0.7421875","0.7421875","0.7421875","4843","4843","4843","0.73046875","0.73046875","0.73046875","4843","4843","4843","0.7421875","0.7421875","0.7421875"
"142","4872","4872","4872","0.703125","0.703125","0.703125","4872","4872","4872","0.703125","0.703125","0.703125","4872","4872","4872","0.71875","0.71875","0.71875"
"143","4901","4901","4901","0.66015625","0.66015625","0.66015625","4901","4901","4901","0.6640625","0.6640625","0.6640625","4901","4901","4901","0.67578125","0.67578125","0.67578125"
"144","4930","4930","4930","0.75","0.75","0.75","4930","4930","4930","0.76171875","0.76171875","0.76171875","4930","4930","4930","0.7421875","0.7421875","0.7421875"
"145","4959","4959","4959","0.67578125","0.67578125","0.67578125","4959","4959","4959","0.69140625","0.69140625","0.69140625","4959","4959","4959","0.69921875","0.69921875","0.69921875"
"146","4988","4988","4988","0.72265625","0.72265625","0.72265625","4988","4988","4988","0.7890625","0.7890625","0.7890625","4988","4988","4988","0.76953125","0.76953125","0.76953125"
"147","5017","5017","5017","0.6640625","0.6640625","0.6640625","5017","5017","5017","0.71875","0.71875","0.71875","5017","5017","5017","0.67578125","0.67578125","0.67578125"
"148","5046","5046","5046","0.83984375","0.83984375","0.83984375","5046","5046","5046","0.83984375","0.83984375","0.83984375","5046","5046","5046","0.78515625","0.78515625","0.78515625"
"149","5075","5075","5075","0.7890625","0.7890625","0.7890625","5075","5075","5075","0.75390625","0.75390625","0.75390625","5075","5075","5075","0.78515625","0.78515625","0.78515625"
"150","5104","5104","5104","0.640625","0.640625","0.640625","5104","5104","5104","0.66015625","0.66015625","0.66015625","5104","5104","5104","0.64453125","0.64453125","0.64453125"
"151","5133","5133","5133","0.859375","0.859375","0.859375","5133","5133","5133","0.796875","0.796875","0.796875","5133","5133","5133","0.82421875","0.82421875","0.82421875"
"152","5162","5162","5162","0.62109375","0.62109375","0.62109375","5162","5162","5162","0.640625","0.640625","0.640625","5162","5162","5162","0.62890625","0.62890625","0.62890625"
"153","5191","5191","5191","0.66796875","0.66796875","0.66796875","5191","5191","5191","0.66796875","0.66796875","0.66796875","5191","5191","5191","0.625","0.625","0.625"
"154","5220","5220","5220","0.76953125","0.76953125","0.76953125","5220","5220","5220","0.75","0.75","0.75","5220","5220","5220","0.7578125","0.7578125","0.7578125"
"155","5249","5249","5249","0.703125","0.703125","0.703125","5249","5249","5249","0.68359375","0.68359375","0.68359375","5249","5249","5249","0.70703125","0.70703125","0.70703125"
"156","5278","5278","5278","0.83203125","0.83203125","0.83203125","5278","5278","5278","0.82421875","0.82421875","0.82421875","5278","5278","5278","0.7734375","0.7734375","0.7734375"
"157","5307","5307","5307","0.7578125","0.7578125","0.7578125","5307","5307","5307","0.76953125","0.76953125","0.76953125","5307","5307","5307","0.7578125","0.7578125","0.7578125"
"158","5336","5336","5336","0.703125","0.703125","0.703125","5336","5336","5336","0.68359375","0.68359375","0.68359375","5336","5336","5336","0.6875","0.6875","0.6875"
"159","5365","5365","5365","0.66796875","0.66796875","0.66796875","5365","5365","5365","0.7265625","0.7265625","0.7265625","5365","5365","5365","0.6640625","0.6640625","0.6640625"
"160","5394","5394","5394","0.76171875","0.76171875","0.76171875","5394","5394","5394","0.765625","0.765625","0.765625","5394","5394","5394","0.7734375","0.7734375","0.7734375"
