"train/global_step","[paper]GEPO_diff4 - _step","[paper]GEPO_diff4 - _step__MIN","[paper]GEPO_diff4 - _step__MAX","[paper]GEPO_diff4 - train/step_diff","[paper]GEPO_diff4 - train/step_diff__MIN","[paper]GEPO_diff4 - train/step_diff__MAX","[paper]GEPO_diff32 - _step","[paper]GEPO_diff32 - _step__MIN","[paper]GEPO_diff32 - _step__MAX","[paper]GEPO_diff32 - train/step_diff","[paper]GEPO_diff32 - train/step_diff__MIN","[paper]GEPO_diff32 - train/step_diff__MAX"
"217","8725","8725","8725","3","3","3","8725","8725","8725","37","37","37"
"218","8760","8760","8760","3","3","3","8760","8760","8760","47","47","47"
"219","8795","8795","8795","4","4","4","8795","8795","8795","34","34","34"
"220","8830","8830","8830","3","3","3","8830","8830","8830","49","49","49"
"221","8865","8865","8865","7","7","7","8865","8865","8865","36","36","36"
"222","8900","8900","8900","2","2","2","8900","8900","8900","37","37","37"
"223","8935","8935","8935","6","6","6","8935","8935","8935","37","37","37"
"224","8970","8970","8970","7","7","7","8970","8970","8970","35","35","35"
"225","9005","9005","9005","2","2","2","9005","9005","9005","40","40","40"
"226","9040","9040","9040","6","6","6","9040","9040","9040","40","40","40"
"227","9075","9075","9075","4","4","4","9075","9075","9075","42","42","42"
"228","9110","9110","9110","0","0","0","9110","9110","9110","4","4","4"
"229","9145","9145","9145","1","1","1","9145","9145","9145","36","36","36"
"230","9180","9180","9180","2","2","2","9180","9180","9180","37","37","37"
"231","9215","9215","9215","3","3","3","9215","9215","9215","38","38","38"
"232","9250","9250","9250","4","4","4","9250","9250","9250","4","4","4"
"233","9285","9285","9285","0","0","0","9285","9285","9285","35","35","35"
"234","9320","9320","9320","1","1","1","9320","9320","9320","36","36","36"
"235","9355","9355","9355","2","2","2","9355","9355","9355","37","37","37"
"236","9390","9390","9390","3","3","3","9390","9390","9390","38","38","38"
"237","9425","9425","9425","4","4","4","9425","9425","9425","39","39","39"
"238","9460","9460","9460","2","2","2","9460","9460","9460","4","4","4"
"239","9495","9495","9495","6","6","6","9495","9495","9495","15","15","15"
"240","9530","9530","9530","4","4","4","9530","9530","9530","16","16","16"
"241","9565","9565","9565","0","0","0","9565","9565","9565","17","17","17"
"242","9600","9600","9600","1","1","1","9600","9600","9600","18","18","18"
"243","9635","9635","9635","2","2","2","9635","9635","9635","4","4","4"
"244","9670","9670","9670","3","3","3","9670","9670","9670","20","20","20"
"245","9705","9705","9705","4","4","4","9705","9705","9705","17","17","17"
"246","9740","9740","9740","2","2","2","9740","9740","9740","22","22","22"
"247","9775","9775","9775","6","6","6","9775","9775","9775","23","23","23"
"248","9810","9810","9810","4","4","4","9810","9810","9810","20","20","20"
"249","9845","9845","9845","2","2","2","9845","9845","9845","15","15","15"
"250","9880","9880","9880","6","6","6","9880","9880","9880","16","16","16"
"251","9915","9915","9915","4","4","4","9915","9915","9915","23","23","23"
"252","9950","9950","9950","2","2","2","9950","9950","9950","18","18","18"
"253","9985","9985","9985","6","6","6","9985","9985","9985","19","19","19"
"254","10020","10020","10020","7","7","7","10020","10020","10020","3","3","3"
"255","10055","10055","10055","1","1","1","10055","10055","10055","21","21","21"
"256","10090","10090","10090","1","1","1","10090","10090","10090","22","22","22"
"257","10502","10502","10502","0","0","0","10502","10502","10502","0","0","0"
"258","10537","10537","10537","3","3","3","10537","10537","10537","24","24","24"
"259","10572","10572","10572","3","3","3","10572","10572","10572","25","25","25"
"260","10607","10607","10607","5","5","5","10607","10607","10607","26","26","26"
"261","10642","10642","10642","5","5","5","10642","10642","10642","3","3","3"
"262","10677","10677","10677","1","1","1","10677","10677","10677","28","28","28"
"263","10712","10712","10712","6","6","6","10712","10712","10712","29","29","29"
"264","10747","10747","10747","7","7","7","10747","10747","10747","4","4","4"
"265","10782","10782","10782","8","8","8","10782","10782","10782","26","26","26"
"266","10817","10817","10817","1","1","1","10817","10817","10817","32","32","32"
"267","10852","10852","10852","6","6","6","10852","10852","10852","4","4","4"
"268","10887","10887","10887","7","7","7","10887","10887","10887","34","34","34"
